"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,"Visitas ao perfil",Respostas,"Toques em figurinhas",Navegação,Seguimentos
18096440077870430,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/20/2026 03:22",https://www.instagram.com/stories/megaeletronicosoficialpy/3879400211424520488,"Story do Instagram",,Total,7437,6196,28,51,51,3,34,6910,3
18174008980405475,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,16,"04/20/2026 12:41",https://www.instagram.com/stories/megaeletronicosoficialpy/3879671610793805164,"Story do Instagram",,Total,4302,3510,15,4,26,2,,3702,
18093204344164897,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,10,"04/20/2026 12:09",https://www.instagram.com/stories/megaeletronicosoficialpy/3879665141918758596,"Story do Instagram",,Total,4505,3789,13,1,7,0,,4083,
18065611319687991,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Do dia 07 até dia 10 de maio te esperamos 🤩🥰",17,"04/20/2026 11:12",https://www.instagram.com/stories/megaeletronicosoficialpy/3879636407858307726,"Story do Instagram",,Total,5035,3954,18,11,8,2,,4613,
18119470309561712,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,14,"04/20/2026 10:57",https://www.instagram.com/stories/megaeletronicosoficialpy/3879629020623652260,"Story do Instagram",,Total,5211,4032,12,13,5,6,,3965,
18062225864411380,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,16,"04/20/2026 10:52",https://www.instagram.com/stories/megaeletronicosoficialpy/3879626466753872733,"Story do Instagram",,Total,4900,4061,11,3,5,0,,4395,
18112725628796380,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Dia maravilhoso por aqui 🥰
Loja cheia 💙 aguardamos vocês até as 16:30hs ! @megaelectronicosparaguay",16,"04/20/2026 08:58",https://www.instagram.com/stories/megaeletronicosoficialpy/3879569271991427367,"Story do Instagram",,Total,6830,5557,5,4,8,0,,4794,
17893697700446618,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,20,"04/20/2026 04:16",https://www.instagram.com/stories/megaeletronicosoficialpy/3879426997835310489,"Story do Instagram",,Total,5689,4869,7,0,25,0,,5561,1
18578651077008943,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Corre que hoje tá daquele jeito: loja lotada e ofertas voando 💨🔥",0,"04/20/2026 04:11",https://www.instagram.com/stories/megaeletronicosoficialpy/3879424555424952600,"Story do Instagram",,Total,5869,5174,12,4,11,2,,5579,4
18126211648584512,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Te esperamos até as 16:30 Bom dia pessoal 🥰😉",0,"04/20/2026 04:01",https://www.instagram.com/stories/megaeletronicosoficialpy/3879419394166140091,"Story do Instagram",,Total,6315,5233,21,6,14,3,,6078,3
18170443663371783,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/20/2026 03:24",https://www.instagram.com/stories/megaeletronicosoficialpy/3879400857414410601,"Story do Instagram",,Total,6736,5370,11,3,11,0,21,6317,
18097608398014521,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/20/2026 03:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3879400657027386903,"Story do Instagram",,Total,6505,5475,12,31,11,0,29,6281,2
18020603699654178,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/20/2026 03:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3879400513095640109,"Story do Instagram",,Total,6301,5598,10,3,6,1,7,6169,
18099371803834820,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/20/2026 03:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3879400433521267174,"Story do Instagram",,Total,6448,5697,9,13,10,0,13,6260,
18092485496274974,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/20/2026 03:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3879400378492009613,"Story do Instagram",,Total,6751,5840,15,5,5,1,5,6555,
